export_id,product_id,country_id,fiscal_year,quarter,export_value_usd,export_volume_tons
1,4,1,2021-22,1,620.00,45000.00
2,4,1,2021-22,2,680.00,48000.00
3,4,1,2021-22,3,710.00,51000.00
4,4,1,2021-22,4,730.00,53000.00
5,4,1,2022-23,1,540.00,40000.00
6,4,1,2022-23,2,510.00,38000.00
7,4,1,2022-23,3,490.00,36000.00
8,4,1,2022-23,4,520.00,39000.00
9,4,1,2023-24,1,580.00,42000.00
10,4,1,2023-24,2,600.00,44000.00
11,4,1,2023-24,3,620.00,46000.00
12,4,1,2023-24,4,640.00,47000.00
13,4,1,2024-25,1,680.00,49000.00
14,4,1,2024-25,2,710.00,51000.00
15,4,1,2024-25,3,730.00,53000.00
16,4,1,2024-25,4,750.00,55000.00
17,6,1,2021-22,1,410.00,32000.00
18,6,1,2021-22,2,430.00,34000.00
19,6,1,2021-22,3,450.00,35000.00
20,6,1,2021-22,4,460.00,36000.00
21,6,1,2022-23,1,370.00,29000.00
22,6,1,2022-23,2,350.00,27000.00
23,6,1,2022-23,3,340.00,26000.00
24,6,1,2022-23,4,360.00,28000.00
25,6,1,2023-24,1,390.00,30000.00
26,6,1,2023-24,2,400.00,31000.00
27,6,1,2023-24,3,415.00,32000.00
28,6,1,2023-24,4,420.00,33000.00
29,6,1,2024-25,1,440.00,34000.00
30,6,1,2024-25,2,455.00,35000.00
31,6,1,2024-25,3,470.00,36000.00
32,6,1,2024-25,4,480.00,37000.00
33,2,4,2021-22,1,280.00,60000.00
34,2,4,2021-22,2,290.00,62000.00
35,2,4,2021-22,3,310.00,65000.00
36,2,4,2021-22,4,300.00,63000.00
37,2,4,2022-23,1,220.00,50000.00
38,2,4,2022-23,2,200.00,47000.00
39,2,4,2022-23,3,190.00,45000.00
40,2,4,2022-23,4,210.00,48000.00
41,2,4,2023-24,1,230.00,52000.00
42,2,4,2023-24,2,240.00,54000.00
43,2,4,2023-24,3,250.00,56000.00
44,2,4,2023-24,4,245.00,55000.00
45,2,4,2024-25,1,255.00,57000.00
46,2,4,2024-25,2,260.00,58000.00
47,2,4,2024-25,3,270.00,60000.00
48,2,4,2024-25,4,265.00,59000.00
49,5,2,2021-22,1,190.00,22000.00
50,5,2,2021-22,2,200.00,23000.00
51,5,2,2021-22,3,210.00,24000.00
52,5,2,2021-22,4,205.00,23500.00
53,5,2,2022-23,1,160.00,19000.00
54,5,2,2022-23,2,150.00,18000.00
55,5,2,2022-23,3,145.00,17500.00
56,5,2,2022-23,4,155.00,18500.00
57,5,2,2023-24,1,170.00,20000.00
58,5,2,2023-24,2,175.00,20500.00
59,5,2,2023-24,3,180.00,21000.00
60,5,2,2023-24,4,178.00,20800.00
61,5,2,2024-25,1,185.00,21500.00
62,5,2,2024-25,2,190.00,22000.00
63,5,2,2024-25,3,195.00,22500.00
64,5,2,2024-25,4,200.00,23000.00
65,7,3,2021-22,1,150.00,18000.00
66,7,3,2021-22,2,160.00,19000.00
67,7,3,2021-22,3,165.00,19500.00
68,7,3,2021-22,4,158.00,18800.00
69,7,3,2022-23,1,130.00,16000.00
70,7,3,2022-23,2,125.00,15500.00
71,7,3,2022-23,3,120.00,15000.00
72,7,3,2022-23,4,128.00,15800.00
73,7,3,2023-24,1,140.00,17000.00
74,7,3,2023-24,2,145.00,17500.00
75,7,3,2023-24,3,148.00,17800.00
76,7,3,2023-24,4,143.00,17200.00
77,7,3,2024-25,1,152.00,18200.00
78,7,3,2024-25,2,158.00,18800.00
79,7,3,2024-25,3,162.00,19200.00
80,7,3,2024-25,4,165.00,19500.00
